iter	RMSE
275	0.113232738
276	0.1131965464
277	0.1131465968
278	0.1131235563
279	0.1130740884
280	0.1130479138
281	0.113021526
282	0.1129668205
283	0.1129280815
284	0.1128944232
285	0.1128697294
286	0.1128411763
287	0.1127994955
288	0.1127630117
289	0.1127345141
290	0.1127123292
291	0.1126858968
292	0.1126536668
293	0.1126200006
294	0.1126030724
295	0.1125574112
296	0.1125175034
297	0.1124715896
298	0.1124452812
299	0.1124093429
300	0.1123715436
301	0.112342638
302	0.1123126317
303	0.1122855608
304	0.1122394937
305	0.112205665
306	0.1121695812
307	0.1121420372
308	0.1121043385
309	0.1120766216
310	0.1120304063
311	0.112002828
312	0.111958588
313	0.1119435873
314	0.1119203224
315	0.1118788196
316	0.1118310849
317	0.111808896
318	0.1117576958
319	0.1117210296
320	0.1116970565
321	0.1116629487
322	0.1116430607
323	0.1116086896
324	0.1115868502
325	0.1115326274
326	0.1115025089
327	0.1114692362
328	0.1114443572
329	0.1114236952
330	0.1114056097
331	0.1113852348
332	0.1113533111
333	0.1113352895
334	0.1113055096
335	0.111273765
336	0.1112423787
337	0.1112093487
338	0.1111801986
339	0.1111485647
340	0.1111247775
341	0.1111027064
342	0.1110744449
343	0.1110471308
344	0.1110126355
345	0.1109884333
346	0.1109648865
347	0.1109180234
348	0.1108883543
349	0.1108612501
350	0.110831182
351	0.1108103906
352	0.110775199
353	0.1107402438
354	0.1107037411
355	0.1106885187
356	0.1106669647
357	0.1106405202
358	0.1106224075
359	0.1105856549
360	0.1105663403
361	0.1105409836
362	0.1105059198
363	0.1104742971
364	0.1104547383
365	0.1104281057
366	0.1104006375
367	0.1103815783
368	0.1103511723
369	0.1103377752
370	0.1103101182
371	0.1102628374
372	0.1102319592
373	0.1101881961
374	0.1101553908
375	0.110136363
376	0.1101116532
377	0.1100950445
378	0.1100667099
379	0.1100240896
380	0.1100004957
381	0.1099725386
382	0.1099418922
383	0.1099150541
384	0.1098790072
385	0.1098515049
386	0.1098285551
387	0.1098027296
388	0.1097533925
389	0.1097329307
390	0.1097023961
391	0.1096704013
392	0.1096382144
393	0.1096181645
394	0.1095958724
395	0.1095826928
396	0.1095564677
397	0.1095405459
398	0.1095121211
399	0.1094697588
400	0.109433363
401	0.1094193281
402	0.1094012208
403	0.1093911357
404	0.1093735631
405	0.1093549015
406	0.1093307746
407	0.1093008407
408	0.1092768538
409	0.1092546937
410	0.1092311459
411	0.10921535
412	0.1091892065
413	0.1091568412
414	0.1091403505
415	0.109117984
416	0.1090926174
417	0.109080722
418	0.1090533918
419	0.1090368668
420	0.1090234108
421	0.1089923152
422	0.1089637784
423	0.1089378584
424	0.1089129987
425	0.1088825711
426	0.1088565399
427	0.1088324763
428	0.1088023434
429	0.1087809194
430	0.1087639972
431	0.1087494407
432	0.1087044439
433	0.1086885348
434	0.1086655806
435	0.1086375109
436	0.1086084043
437	0.1085861729
438	0.108560411
439	0.1085356856
440	0.1085018412
441	0.1084749453
442	0.1084443448
443	0.1084275201
444	0.1084044028
445	0.1083790475
446	0.1083567764
447	0.1083266696
448	0.1083062885
449	0.108277485
450	0.1082487051
451	0.1082050131
452	0.1081880389
453	0.1081799934
454	0.1081622656
455	0.108133439
456	0.1081142117
457	0.1080820858
458	0.1080558249
459	0.1080378677
460	0.1080194075
461	0.1079983157
462	0.1079786974
463	0.107947153
464	0.1079136674
465	0.1078798171
466	0.1078467367
467	0.1078273097
468	0.1078096381
469	0.107768774
470	0.1077451541
471	0.1077302888
472	0.1076922901
473	0.1076804406
474	0.1076601009
475	0.1076378909
476	0.1076061895
477	0.1075723448
478	0.1075330088
479	0.1075086718
480	0.1074750827
481	0.1074312079
482	0.1073970968
483	0.1073737776
484	0.1073500159
485	0.1073242617
486	0.1073049089
487	0.1072768168
488	0.1072502847
489	0.1072297415
490	0.1071848295
491	0.1071709561
492	0.1071467223
493	0.1071265449
494	0.1071100305
495	0.1070892765
496	0.1070611616
497	0.1070319666
498	0.1070080596
499	0.106983349
500	0.1069585088
501	0.1069432783
502	0.1069214065
503	0.1068969136
504	0.1068687104
505	0.106849814
506	0.1068267086
507	0.1068087084
508	0.1067838244
509	0.1067651657
510	0.1067573418
511	0.1067259683
512	0.1067011314
513	0.1066763949
514	0.1066513255
515	0.1066294907
516	0.1066081159
517	0.1065851016
518	0.1065678767
519	0.1065345397
520	0.1065082648
521	0.1064831403
522	0.1064598629
523	0.1064388208
524	0.1064176381
525	0.1063945466
526	0.106363973
527	0.1063367705
528	0.1063146129
529	0.1062943606
530	0.1062818272
531	0.1062565939
532	0.1062429628
533	0.1062223102
534	0.1062037706
535	0.1061721947
536	0.1061474653
537	0.1061177076
538	0.1060925892
539	0.1060812496
540	0.1060515161
541	0.1060333205
542	0.1060138094
543	0.105983754
544	0.1059597048
545	0.1059429142
546	0.1059210255
547	0.1059014872
548	0.105881943
549	0.1058496939
550	0.105836091
551	0.1057993151
552	0.1057710582
553	0.1057412056
554	0.1057084915
555	0.1056931194
556	0.1056784281
557	0.1056474759
558	0.1056286133
559	0.1055934598
560	0.1055676034
561	0.1055403887
562	0.1055165741
563	0.1054900087
564	0.1054643266
565	0.1054453261
566	0.1054164773
567	0.1053872997
568	0.1053470866
569	0.1053149257
570	0.1052988489
571	0.1052861686
572	0.1052698552
573	0.1052519794
574	0.105231629
575	0.105203208
576	0.1051850374
577	0.1051580693
578	0.1051224101
579	0.1051061277
580	0.1050783906
581	0.1050595707
582	0.1050300768
583	0.1050097506
584	0.1049914488
585	0.1049461042
586	0.104923292
587	0.1048960941
588	0.104878564
589	0.1048508418
590	0.1048282346
591	0.1048140205
592	0.1047943101
593	0.1047780996
594	0.1047623219
595	0.1047450053
596	0.1047199819
597	0.1046988457
598	0.1046739305
599	0.1046525424
600	0.1046395377
601	0.1046170634
602	0.104594243
603	0.104578793
604	0.104569081
605	0.1045339009
606	0.1045066255
607	0.1044943943
608	0.1044866682
609	0.1044656853
610	0.1044534097
611	0.104426008
612	0.1044007667
613	0.1043848995
614	0.1043631813
615	0.1043351623
616	0.104309046
617	0.104289116
618	0.1042747588
619	0.1042586652
620	0.1042216771
621	0.1042029623
622	0.1041919301
623	0.1041707308
624	0.1041484592
625	0.1041312311
626	0.1041108445
627	0.1040900063
628	0.1040520774
629	0.1040389496
630	0.1040197814
631	0.104000854
632	0.103977911
633	0.1039506459
634	0.1039279104
635	0.1039150544
636	0.1038835886
637	0.1038600864
638	0.1038320479
639	0.1038119885
640	0.103794641
641	0.1037826505
642	0.1037549352
643	0.10373962
644	0.1037178104
645	0.1036893696
646	0.1036652495
647	0.1036445631
648	0.1036314376
649	0.1036144621
650	0.1036003851
651	0.1035703777
652	0.1035520251
653	0.1035315611
654	0.1035140243
655	0.1035005625
656	0.1034815213
657	0.1034601837
658	0.1034482375
659	0.1034355424
660	0.1034057814
661	0.1033866328
662	0.1033654806
663	0.1033434561
664	0.1033289294
665	0.103302201
666	0.1032872294
667	0.1032704977
668	0.103249454
669	0.1032376324
670	0.1032278275
671	0.1032192659
672	0.1032085595
673	0.103190199
674	0.1031508916
675	0.10313331
676	0.1031156134
677	0.1030999852
678	0.1030879857
679	0.1030711549
680	0.1030564479
681	0.1030331801
682	0.1030151019
683	0.103003602
684	0.102979594
685	0.1029588038
686	0.1029289376
687	0.1029009085
688	0.1028855015
689	0.1028691868
690	0.1028510609
691	0.1028325874
692	0.1028181786
693	0.1028022021
694	0.102774161
695	0.1027431394
696	0.1027260658
697	0.1027111791
698	0.1026850782
699	0.1026766556
700	0.1026553807
701	0.1026354796
702	0.1026050515
703	0.1025852241
704	0.1025646352
705	0.1025442945
706	0.10253625
707	0.1025100282
708	0.1024955494
709	0.1024871809
710	0.102455769
711	0.1024380064
712	0.1024282635
713	0.1024073966
714	0.1023935574
715	0.1023779966
716	0.1023630101
717	0.1023514077
718	0.1023169672
719	0.1023017861
720	0.1022807485
721	0.1022579103
722	0.102243526
723	0.1022158711
724	0.1022020069
725	0.1021821805
726	0.1021644014
727	0.1021476502
728	0.1021162433
729	0.1021006367
730	0.1020818709
731	0.1020635404
732	0.1020436816
733	0.1020269447
734	0.1020153664
735	0.1019957318
736	0.1019715328
737	0.101953568
738	0.1019402028
739	0.1019272205
740	0.1019223157
741	0.1019071185
742	0.1018920232
743	0.1018720619
744	0.1018608354
745	0.1018449399
746	0.1018273474
747	0.1018113857
748	0.1017777815
749	0.1017576023
750	0.1017377031
751	0.1017213077
752	0.1017049263
753	0.1016832446
754	0.1016643255
755	0.1016377933
756	0.1016209604
757	0.1016027604
758	0.1015848512
759	0.1015644243
760	0.1015490198
761	0.1015334722
762	0.1015235048
763	0.1015146585
764	0.1014943419
765	0.1014682804
766	0.1014631037
767	0.1014499042
768	0.1014340796
769	0.1014142533
770	0.101387857
771	0.1013599537
772	0.1013331518
773	0.1013164962
774	0.1013018939
775	0.1012904473
776	0.1012553579
777	0.1012315934
778	0.1012143174
779	0.1012002365
780	0.1011813759
781	0.1011592087
782	0.1011420928
783	0.1011213792
784	0.1011034551
785	0.1010792049
786	0.1010530553
787	0.1010410261
788	0.1010258294
789	0.1010078897
790	0.1009866786
791	0.1009705089
792	0.100952011
793	0.1009370038
794	0.1009211692
795	0.1008929706
796	0.100884334
797	0.1008797842
798	0.1008578437
799	0.1008316568
800	0.1008116824
801	0.1007887656
802	0.1007743482
803	0.1007574015
804	0.1007463663
805	0.1007167535
806	0.1006932407
807	0.100673619
808	0.1006532158
809	0.1006396492
810	0.1006290887
811	0.1006181473
812	0.1006040546
813	0.1005771882
814	0.1005657482
815	0.1005437663
816	0.1005327467
817	0.100526277
818	0.1005159325
819	0.1005041953
820	0.1004850826
821	0.1004701113
822	0.1004570404
823	0.1004525519
824	0.100421223
825	0.1004033853
826	0.1003872418
827	0.10037169
828	0.1003474165
829	0.100328534
830	0.1003166288
831	0.100302966
832	0.1002877401
833	0.1002776706
834	0.100262061
835	0.1002368643
836	0.1002185377
837	0.1001979357
838	0.100181309
839	0.1001601379
840	0.1001474738
841	0.1001372326
842	0.1001246215
843	0.1001107933
844	0.1000970845
845	0.1000787905
846	0.1000669058
847	0.1000570199
848	0.1000302506
849	0.1000197127
850	0.09998677812
851	0.09997008057
852	0.09995575339
853	0.09993234714
854	0.09991247744
855	0.09989808294
856	0.09988286528
857	0.09985535542
858	0.09983702604
859	0.09981637663
860	0.09980225414
861	0.09978439659
862	0.0997686811
863	0.09973234388
864	0.09970532165
865	0.09968218903
866	0.09966190428
867	0.09964489836
868	0.09963124018
869	0.09961093677
870	0.09959276396
871	0.09957478491
872	0.09954674454
873	0.09953030933
874	0.09950871645
875	0.09949044198
876	0.09947769389
877	0.09945820081
878	0.09944324129
879	0.0994276738
880	0.09940834798
881	0.0993967048
882	0.09937384677
883	0.09936154606
884	0.09934985488
885	0.09933621885
886	0.09932226706
887	0.09931411211
888	0.09928620723
889	0.09926909858
890	0.09924931709
891	0.09923779571
892	0.09921626076
893	0.09920720161
894	0.09918598564
895	0.09917698395
896	0.09915952697
897	0.09914583539
898	0.0991346555
899	0.09911921646
900	0.09910347845
901	0.09908700686
902	0.09907116333
903	0.09905430189
904	0.09904709342
905	0.09902886966
906	0.09901851417
907	0.09899816633
908	0.09898192821
909	0.09896484049
910	0.0989484458
911	0.09892948445
912	0.09891434668
913	0.09889957319
914	0.09888268317
915	0.09885812989
916	0.0988465975
917	0.09882940793
918	0.09880865701
919	0.09879309903
920	0.09877054587
921	0.09875539542
922	0.09874434347
923	0.09872950872
924	0.09871566303
925	0.09870394216
926	0.09868662274
927	0.0986652924
928	0.09864906548
929	0.09862619854
930	0.09860450214
931	0.09859272483
932	0.09857720679
933	0.09856504103
934	0.09855753
935	0.09853940219
936	0.09852314005
937	0.09850487165
938	0.09849345658
939	0.09847985963
940	0.0984586524
941	0.09845140131
942	0.09843920034
943	0.0984222879
944	0.09840183529
945	0.09838980567
946	0.09837649273
947	0.0983667281
948	0.09835393175
949	0.09834383532
950	0.09832592136
951	0.09830910731
952	0.09828562884
953	0.0982711875
954	0.09825281753
955	0.09824060191
956	0.09822084235
957	0.09819252574
958	0.09817681133
959	0.09815184591
960	0.09814209384
961	0.09812961937
962	0.09810472504
963	0.09809017046
964	0.09807843186
965	0.09805226355
966	0.09804006554
967	0.09802588152
968	0.09801402448
969	0.09799597287
970	0.09798229651
971	0.09796410467
972	0.0979442741
973	0.09792073433
974	0.09791029569
975	0.09789805696
976	0.09788663147
977	0.09787023196
978	0.09785417758
979	0.09783730271
980	0.09781163627
981	0.09779378196
982	0.09777846081
983	0.09775533509
984	0.09774367992
985	0.09772948135
986	0.09771224285
987	0.09769206197
988	0.09768215968
989	0.09766689276
990	0.09765283836
991	0.09763801321
992	0.09762028033
993	0.09761251335
994	0.09760208746
995	0.09758778572
996	0.09757649325
997	0.0975641251
998	0.09753525602
999	0.09751612851
