hour;load
0;496
1;476
2;468
3;472
4;486
5;520
6;584
7;622
8;655
9;671
10;689
11;701
12;693
13;686
14;647
15;626
16;613
17;616
18;645
19;644
20;605
21;577
22;551
23;520
